M1,M2,M3,M4,M5,M6,M7,M8,M9
0.0,2.1123047,0.80209637,0.9749922,1.0222132,-1.5169164,1.6099939,0.0,-1.4384497
0.0,-0.5204546,-1.2634661,0.7581727,-1.3501153,-1.4624276,1.9008056,0.0,-1.4356073
0.0,-0.78495634,0.39005244,0.6072127,-1.4205319,1.4684477,1.7436328,0.0,1.9035803
0.0,-0.4635675,-0.90735674,-1.0736288,-0.904117,-2.006394,-1.4800111,0.0,0.88035077
0.0,0.9687134,-1.2731134,-0.5022255,0.936486,0.30553037,-1.6809914,0.0,-1.8943251
0.0,-0.8687638,-1.2462529,0.13260233,-1.2088342,-1.5258887,-0.061808176,0.0,-1.7268459
0.0,-1.3863153,0.565771,-0.9680986,1.0068144,-1.5318259,-1.221152,0.0,-1.9070979
0.0,0.7347463,-1.3550998,-0.39044762,-1.228496,1.3231685,-1.7091368,0.0,-1.4936777
0.0,-1.1769811,0.6096082,-1.1527047,-0.7684856,-2.140929,-1.3521627,0.0,1.733287
0.0,-0.14694318,-1.5006124,-0.22853322,-0.5884912,0.5060653,-1.6065301,0.0,-1.6505226
0.0,1.4592197,0.971315,1.3375841,0.9572846,-1.4990658,-1.1645411,0.0,1.7396206
0.0,-0.5375986,-1.4566134,0.84727365,0.9814031,-0.3827602,-1.4404385,0.0,-2.1308432
0.0,-1.4326721,0.654618,0.94831955,-0.5481149,1.5609715,1.7025585,0.0,-0.5429423
0.0,1.5851082,-0.74631387,-0.121244036,1.3427731,1.4581724,2.1322012,0.0,-0.14127502
0.0,0.33570272,0.97842824,1.3926398,-0.045202468,-1.831308,1.3361628,0.0,1.6094066
0.0,-1.0447123,0.7414011,0.6995557,-1.4201155,1.5228106,1.115559,0.0,2.0266333
0.0,-0.010612164,-1.0236725,0.0026547285,1.5252382,0.83651257,2.3680456,0.0,-1.1832227
0.0,1.2992238,0.5187509,0.7243374,1.1084101,1.2113681,1.4451274,0.0,1.0893553
0.0,1.9270476,-1.2653056,0.048099644,1.3569572,0.059412867,2.260371,0.0,-1.309028
0.0,0.18657582,-0.82575417,-0.043558553,0.8915233,1.4210552,1.939118,0.0,1.9737476
0.0,-0.5811078,-0.7911614,-0.13241476,1.5002899,1.0450605,0.34135288,0.0,2.0645306
0.0,2.3650386,0.6003961,1.2207177,1.3772558,-1.2272682,0.37546813,0.0,-0.7987694
0.0,0.33454105,0.94161046,1.0415847,1.5111197,0.673736,-1.1889838,0.0,2.2594442
0.0,1.0461626,0.89615345,0.002459269,1.1642507,0.65516436,1.2088275,0.0,1.9118427
0.0,1.4517494,-1.0393006,-0.94394326,-0.23136947,-1.2446839,-1.5230837,0.0,-0.34396693
0.0,-1.0561533,0.66001034,-0.34949633,-1.5580031,-1.8991897,-1.264854,0.0,1.9002306
0.0,1.6314815,1.0007005,0.01351015,-1.0647377,0.6652037,0.8112768,0.0,1.552259
0.0,-1.5616632,0.5694796,-0.9986846,-0.25103235,-1.4488449,0.38610426,0.0,-0.71183616
0.0,1.6643175,0.90134406,-0.22099172,0.32683563,1.1506284,0.7991488,0.0,1.3636113
0.0,-0.4776934,-1.452457,-0.48989168,-0.79100823,-1.845084,-0.047661282,0.0,-1.5625079
0.0,-1.0654066,-1.037419,-0.9361338,-0.20288171,1.4051903,-1.0319877,0.0,-2.189631
0.0,-1.064664,-0.8984493,-0.81174177,1.1095048,-1.0548953,-0.833405,0.0,-2.0709896
0.0,-1.053727,-0.99994856,1.219697,-0.89301205,-1.2783271,-0.7435575,0.0,-1.9092737
0.0,-1.0746229,-1.0446161,-0.92722297,0.05245608,1.609439,-1.0209461,0.0,-2.1245236
0.0,1.2730135,0.9401034,0.9312551,1.3836526,0.6881856,-1.1579286,0.0,1.8194599
0.0,1.5295101,0.86996233,-0.55330753,1.4848934,-1.1521735,-1.0896615,0.0,1.8159232
0.0,0.44535872,-1.3430156,-0.7888226,-1.509989,-0.43965068,-1.8242419,0.0,0.10747935
0.0,1.4043773,0.72393787,-0.7442351,-1.4459511,0.98329353,1.8496225,0.0,1.3809593
0.0,-0.64192516,-1.3502281,-0.12566046,-0.7705537,-1.4698251,2.151357,0.0,-1.8198918
0.0,2.0591195,0.38592646,-0.58301884,1.3074352,0.7161564,2.1109555,0.0,0.10877913
0.0,-0.47802147,-1.3580947,-0.23472007,-0.53222287,-1.5097495,-1.3788954,0.0,-0.5452135
0.0,0.8854003,0.82955694,0.9320498,1.387962,1.2512122,-1.1999078,0.0,1.8892813
0.0,-1.0016093,-1.2349498,-0.42318532,0.008209478,-1.8139619,0.6172981,0.0,-1.7334119
0.0,1.323247,0.8539314,0.66620433,1.045814,1.3591878,0.9776052,0.0,1.2092953
0.0,1.6162853,0.270067,-0.24740697,-1.6214963,1.234188,2.0741372,0.0,0.6551391
0.0,0.09614381,0.90812194,1.0818827,-0.44213897,1.4806334,-1.4588274,0.0,2.0620582
0.0,-1.0992773,0.6371536,-0.98911744,1.419443,1.5077653,-1.2719718,0.0,2.2061932
0.0,1.3207765,0.8540673,-0.8814334,1.1927593,1.4047308,-1.477887,0.0,1.7655324
0.0,-0.78797704,-1.2676579,-0.1416273,-1.7629706,0.67037207,-1.3890653,0.0,0.706287
0.0,1.4232394,0.83649373,0.7033563,-1.6242452,0.37982908,1.6909558,0.0,1.2301813
0.0,2.0787745,0.7597723,-0.77482325,-0.54598117,1.1623498,2.0993924,0.0,-0.038577948
0.0,1.862638,-1.3537927,-0.41192898,-1.2538834,-1.5377759,-0.48723102,0.0,-1.3829383
0.0,1.476156,0.8806627,-1.0364077,-0.48384607,1.5796764,0.09135744,0.0,1.815117
0.0,-0.21431059,0.87282944,1.2406161,0.5703923,1.708396,-0.0007261131,0.0,-1.5765225
